NAME,TOTAL POINTS,INTELLECT NEEDED,LICENSE,OS LIMITED,MINIMAL STORING,14 EYE ALLIANCE,I2P POSSIBLE,ONION POSSIBLE,TOR PROXY POSSIBLE,TRACK RECORD,DEFAULT SETTINGS,FOSS,METADATA OBF,ZERO AEAR,POLITICS,NONPROFIT,ANON REGISTER,POST-QUANTUM,AUTO-DELETE,PFS,MITM-PROOF,DECENTRALIZED,BLUETOOTH,HONEYPOT,ANON NET,E2EE
BRIAR,12,MEDIUM,GPLv3,NO,TOR-P2P,14 (GERMANY),NO,NATIVE,ONION,GOOD,GOOD,YES,STRONG,YES,NONE,YES,YES,N (TOR),NO,TOR-P2P,YES,YES,YES,MAYBE,"NONE, TOR",YES
SIGNAL,3,LOW,AGPLv3,NO,YES,5 (U.S.),NO,NO,YES,GOOD,GOOD,GOOGLE DEPS,MODERATE,YES,NONE,YES,PHONE,N (CENT),YES,YES,PARTIAL,NO,NO,MAYBE,"NONE, TOR",YES
CWTCH,5,MEDIUM,OPRS,NO,TOR-P2P,5 (CANADA),NO,NATIVE,ONION,FAR LEFT,GOOD,YES,STRONG,YES,FAR LEFT,YES,YES,N (TOR),NO,TOR-P2P,YES,YES,NO,MAYBE,TOR,YES
BERTY,9,LOW,"MIT, APACHE2",NO,"P2P, TOR-P2P",9 (FRANCE),PLANNED,NO,OPTION,NEW,GOOD,YES,YES,YES,NONE,N (COM),YES,"N (TOR, ENC)",NO,YES,YES,YES,YES,LIKELY,MULTIPLE,YES
SESSION,-3,MEDIUM,GNU GPLv3,NO,NO,5 (AUSTRALIA),NO,NO,YES,GOOD,GOOD,GOOGLE DEPS,YES,YES,NONE,YES,YES,NO,BAD,NO,NO,PARTIAL,NO,LIKELY,LOKINET,YES
MATRIX,8,HIGH,APACHE2,NO,SERVER DEP,5 (U.K.),YES,YES,YES,GOOD,GOOD,YES,POOR,YES,NONE,NO,N (EMAIL),Y (Olm),YES,PARTIAL,PARTIAL,YES,NO,MAYBE,POSSIBLE,YES
XMPP,16,HIGH,ANY,NO,SERVER DEP,CLIENT DEP,YES,YES,YES,GOOD,MEDIUM,YES,POSSIBLE,POSSIBLE (i2p),NONE,N (COM),POSSIBLE,Y (OMEMO),NO,YES,YES,YES,NO,NOT LIKELY,"POSSIBLE,U",YES
TELEGRAM,-10,LOW,PROPRIET.,NO,NO,DUBAI,NO,NO,YES,BAD,BAD,NO,NO,YES,NONE,NO,PHONE,NO,YES,YES,NO,NO,NO,LIKELY,NONE,NOT DEFAULT
SIMPLEX,8,HIGH,AGPLv3,NO,"TOR-P2P, P2P",5 (U.K.),NO,NO,YES,NEW,GOOD,YES,STRONG,NO,NONE,YES,YES,YES,YES,YES,YES,YES,NO,LIKELY,"NONE, TOR",YES
WHATSAPP,-23,LOW,PROPRIET.,YES,NO,5 (U.S.),NO,NO,NO,BAD,BAD,NO,NO,NO,FACEBOOK,NO,NO,NO,YES,NO,NO,NO,NO,YES,NONE,BACKDOORED
DISCORD,-23,LOW,PROPRIET.,NO,NO,5 (U.S.),NO,NO,BREAKS,BAD,BAD,NO,NO,NO,CCP+TC,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
